product_id,rating
B0B12K5BPM,3.90
B08MTCKDYN,4.10
B08CF3D7QR,4.30
B00LVMTA2A,4.40
B07TR5HSR9,4.30
B0819ZZK5K,4.30
B096VF5YYF,4.10
B08QJJCY2Q,4.40
B07L5L4GTB,4.40
B07L8KNP5F,3.80
B08CF4SCNP,3.80
B09XX51X2G,4.00
B01M72LILF,4.40
B07KSMBL2H,4.40
B00LZLQ624,4.50
B07DJLFMPS,4.00
B09GB5B4BK,4.00
B015ZXUDD0,4.30
B085DTN6R2,4.20
B09PL79D2X,3.80
B098K3H92Z,4.30
B09KLVMZ3B,4.10
B084PJSSQ1,4.30
B097R25DP7,4.00
B097C564GC,4.30
B08CYNJ5KY,4.20
B00Y4ORQ46,4.00
B074CWD7MS,4.40
B083342NKJ,4.40
B09C6HXFC1,4.50
B00A0VCJPI,4.20
B00UGZWM2I,4.10
B00R1P3B4O,4.50
B0B3MWYCHQ,4.20
B09DG9VNWB,4.30
B09Y5MP7C4,3.90
B01DJJVFPC,4.50
B07DFYJRQV,4.10
B08L879JSN,4.20
B08TDJNM3G,3.80
B06XSK3XL6,4.30
B07YNTJ8ZM,3.90
B09KGV7WSV,4.30
B08DPLCM6T,4.30
B07KR5P3YD,3.90
B08FB2LNSZ,3.70
B01IBRHE3E,4.20
B01N6LU1VF,4.30
B07XLML2YS,4.20
B086WMSCN3,3.90
B003B00484,4.30
B085194JFL,3.70
B09F6S8BT6,4.30
B003L62T7W,4.30
B09P18XVW6,3.90
B00LZLPYHW,4.40
B09NHVCHS9,4.00
B00NNQMYNE,4.50
B0B217Z5VK,3.90
B07B88KQZ8,4.30
B01M4GGIVU,4.20
B07Z3K96FR,4.10
B0756CLQWL,4.20
B004IO5BMQ,4.50
B09Z6WH2N1,4.20
B01HGCLUH6,4.20
B01N4EV2TL,4.30
B08MZQBFLN,4.00
B0752LL57V,4.50
B08K4PSZ3V,3.80
B09Z28BQZT,3.90
B094DQWV9B,4.00
B0BBMPH39N,4.10
B097JQ1J5G,3.40
B07YY1BY5B,4.00
B08VRMK55F,3.40
B08CHZ3ZQ7,4.30
B08SCCG9D4,3.90
B0972BQ2RS,4.10
B00ZRBWPA0,4.30
B0B2DD66GS,4.50
B09M869Z5V,4.20
B07W6VWZ8C,4.10
B07Z1X6VFC,4.40
B07YL54NVJ,4.30
B0759QMF85,4.30
B00LM4X0KU,4.30
B08PFSZ7FH,4.20
B012MQS060,4.10
B01MF8MB65,4.10
B00LHZWD0C,4.50
B08QDPB1SL,4.40
B07BRKK9JQ,4.30
B01EZ0X3L8,4.30
B00LM4W1N2,4.30
B0949SBKMP,4.00
B08YD264ZS,4.30
B094JNXNPV,4.00
B00GZLB57U,4.40
B07V82W5CN,4.00
B077Z65HSD,4.30
B08HD7JQHX,3.30
B0B31FR4Y2,3.70
B09Y14JLP3,4.10
B09ZHCJDP1,5.00
B08C4Z69LN,4.50
B016XVRKZM,3.90
B00LHZW3XY,4.40
B098JYT4SY,4.10
B08CFCK6CW,3.60
B09P564ZTJ,3.80
B07MSLTW8Z,3.60
B09N6TTHT6,4.20
B09W5XR9RT,4.40
B098R25TGC,3.80
B0B2PQL5N3,4.20
B07DKZCZ89,4.30
B08GYG6T12,4.40
B09BN2NPBD,4.10
B00J4YG0PC,4.40
B073BRXPZX,4.40
B08LHTJTBB,4.40
B07VTFN6HM,4.40
B008QS9J6Y,4.30
B09M8888DM,4.30
B07Z1YVP72,4.30
B082FTPRSK,4.20
B09RF2QXGX,4.30
B01KK0HU3Y,4.20
B07JF9B592,3.80
B086394NY5,4.30
B00NH11PEY,4.50
B017PDR9N0,4.10
B07NC12T2R,4.20
B07WKBD37W,4.00
B08JMC1988,4.10
B09GFN8WZL,4.10
B095X38CJS,4.30
B07ZKD8T1Q,4.50
B07G3YNLJB,4.50
B00P93X2H6,4.10
B0798PJPCL,4.30
B09GFWJDY1,3.60
B09MZ6WZ6V,4.40
B094QZLJQ6,4.50
B07L3NDN24,3.90
B08WD18LJZ,4.00
B09CMM3VGK,4.00
B06XDKWLJH,4.40
B01J1CFO5I,4.60
B07J2NGB69,4.40
B00MUTWLW4,4.40
B08QSC1XY8,4.30
B017NC2IPM,4.30
B00N1U7JXM,4.40
B08HQL67D6,4.00
B09RKFBCV7,4.20
B08KHM9VBJ,3.80
B01IOZUHRS,4.10
B00CEQEGPI,4.20
B08B6XWQ1C,4.20
B01DGVKBC6,4.40
B008FWZGSG,4.30
B08JD36C6H,4.10
B00E3DVQFS,4.40
B0B4HJNPV4,3.90
B00BN5SNF0,3.90
B09SGGRKV8,3.60
B07XLCFSSN,4.40
B09RZS1NQT,4.00
B084BR3QX8,3.50
B09VC2D2WG,4.10
B09163Q5CD,4.10
B08K9PX15C,4.00
B083RD1J99,4.10
B09Z7YGV3R,4.00
B00N3XLDW0,3.80
B07Z53L5QL,4.30
B00P93X0VO,4.20
B07SBGFDX9,4.10
B09C6HWG18,4.20
B00NH11KIK,4.50
B07X2L5Z8C,4.60
B00VA7YYUO,4.30
B07L9FW9GF,4.00
B08D64C9FN,4.20
B07XJYYH7L,3.30
B00LOD70SC,4.30
B09X76VL5L,3.70
B091JF2TFD,3.90
B07S7DCJKS,4.30
B09NC2TY11,4.10
B0BDS8MY8J,4.20
B09X7DY7Q4,4.50
B09YV575RK,4.00
B08LW31NQ6,4.50
B09ND94ZRG,3.50
B00P93X6EK,4.50
B07KRCW6LZ,4.30
B0994GP1CX,3.30
B07H8W9PB6,4.10
B09NNHFSSF,3.80
B08D9NDZ1Y,3.50
B0085IATT6,4.10
B08WJ86PV2,4.50
B078HRR1XV,4.40
B09P22HXH6,4.10
B00LM4X3XE,4.30
B09YLFHFDW,3.60
B07YWS9SP9,4.00
B002PD61Y4,4.10
B08WLY8V9S,4.50
B0873L7J6X,4.20
B07YNHCW6N,4.30
B07232M876,4.20
B01MQ2A86A,4.60
B00KIE28X0,4.50
B08BQ947H3,4.30
B0BHYJ8CVF,4.10
B0BCVJ3PVP,4.50
B0B2931FCV,3.50
B09TMZ1MF8,4.40
B07VV37FT4,4.20
B07P681N66,4.40
B07JB2Y4SR,4.40
B08KRMK9LZ,4.20
B08LT9BMPP,4.50
B082T6V3DT,4.30
B0814ZY6FP,3.80
B09F3PDDRF,3.90
B07X963JNS,4.00
B09LD3116F,4.10
B08Y5QJTVK,4.40
B00LY1FN1K,4.40
B07DJ5KYDZ,4.40
B009LJ2BXA,3.50
B09BVCVTBC,4.50
B0BFWGBX61,4.10
B07SY4C3TD,4.40
B094JB13XL,4.10
B08CRRQK6Z,4.20
B08MTLLSL8,4.20
